JD–2400000	VRad(m s-1)	sVRAD(m s-1)	group
56794.33235	-27.35	4.12	AAT
56939.10906	57.19	4.73	AAT
56939.11553	75.8	5.61	AAT
56939.12201	70.72	5.74	AAT
56939.12872	66.23	5.59	AAT
56968.95309	77.43	4.79	AAT
56968.95959	77.51	3.92	AAT
56968.96724	88.6	4.04	AAT
57051.9235	82.73	4.98	AAT
57051.92892	61.72	4.91	AAT
57051.93432	62.25	5.16	AAT
57232.29578	100.57	5.68	AAT
57232.30169	88.84	5.47	AAT
57348.01774	87.79	9.54	AAT
57348.02285	101.91	10.56	AAT
57348.02762	88.41	11.69	AAT
55791.80536	-181.3	3.01	MIKE
55791.80737	-179.08	2.82	MIKE
56139.78028	-173.49	2.82	MIKE
56139.78295	-171.11	3.02	MIKE
56146.85	-137.1	6.21	MIKE
56146.8579	-156.84	4.51	MIKE
56148.8229	-174.13	2.97	MIKE
56173.76616	-150.03	3.25	MIKE
56502.86288	-138.43	3.06	MIKE
56502.86528	-138.55	3.49	MIKE
56607.61563	-106.71	3.47	MIKE
56607.61852	-106.91	3.56	MIKE
57028.54647	-99.63	3.6	MIKE
57259.83538	-50.08	2.92	MIKE
57385.52208	-50.19	3.21	MIKE
57385.5237	-55.44	3.49	MIKE
57385.52534	-58.13	3.1	MIKE
57619.80235	8.77	2.62	MIKE
58707.85665	44.04	2.91	MIKE
58707.8597	51.64	2.94	MIKE
58707.8636	45.88	2.57	MIKE
58740.69472	17.41	3.49	MIKE
58740.69642	13.95	3.49	MIKE
58740.69806	20.49	3.83	MIKE
58740.6997	21.32	3.77	MIKE
58740.70135	15.94	3.82	MIKE
58769.6178	20.34	3.37	MIKE
58769.61991	19.99	3.71	MIKE
58769.62174	13.91	3.58	MIKE
58769.6237	24.42	3.67	MIKE
59446.733	3.08	3.34	MIKE
59446.73475	0.86	3.27	MIKE
59446.73632	0.	3.39	MIKE
59446.73818	0.23	3.43	MIKE
59446.74022	0.24	3.24	MIKE
